Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.01665	-0.3217505	-0.5278332	-0.1490073	
0.0167	-0.3224317	-0.5287811	-0.1494198	
0.01675	-0.3231118	-0.5297262	-0.149832	
0.0168	-0.3237908	-0.5306684	-0.1502438	
0.01685	-0.3244687	-0.5316079	-0.1506553	
0.0169	-0.3251456	-0.5325444	-0.1510666	
0.01695	-0.3258214	-0.5334781	-0.1514775	
0.017	-0.3264961	-0.534409	-0.1518881	
0.01705	-0.3271698	-0.5353372	-0.1522984	
0.0171	-0.3278424	-0.5362624	-0.1527084	
0.01715	-0.328514	-0.5371848	-0.1531181	
0.0172	-0.3291845	-0.5381045	-0.1535275	
0.01725	-0.329854	-0.5390213	-0.1539366	
0.0173	-0.3305224	-0.5399354	-0.1543454	
0.01735	-0.3311898	-0.5408466	-0.1547538	
0.0174	-0.3318562	-0.5417552	-0.155162	
0.01745	-0.3325216	-0.5426609	-0.1555699	
0.0175	-0.3331859	-0.5435638	-0.1559775	
0.01755	-0.3338492	-0.5444641	-0.1563847	
0.0176	-0.3345115	-0.5453615	-0.1567917	
0.01765	-0.3351729	-0.5462562	-0.1571984	
0.0177	-0.3358332	-0.5471482	-0.1576047	
0.01775	-0.3364924	-0.5480374	-0.1580108	
0.0178	-0.3371508	-0.5489239	-0.1584166	
0.01785	-0.3378081	-0.5498077	-0.158822	
0.0179	-0.3384644	-0.5506887	-0.1592272	
0.01795	-0.3391198	-0.551567	-0.1596321	
0.018	-0.3397742	-0.5524427	-0.1600367	
0.01805	-0.3404276	-0.5533156	-0.160441	
0.0181	-0.34108	-0.5541858	-0.1608449	
0.01815	-0.3417315	-0.5550534	-0.1612486	
0.0182	-0.342382	-0.5559183	-0.161652	
0.01825	-0.3430316	-0.5567805	-0.1620551	
0.0183	-0.3436802	-0.55764	-0.1624579	
0.01835	-0.3443279	-0.5584968	-0.1628604	
0.0184	-0.3449746	-0.559351	-0.1632627	
0.01845	-0.3456204	-0.5602026	-0.1636646	
0.0185	-0.3462653	-0.5610515	-0.1640662	
0.01855	-0.3469092	-0.5618978	-0.1644676	
0.0186	-0.3475522	-0.5627413	-0.1648686	
0.01865	-0.3481943	-0.5635824	-0.1652694	
