Time	LH_BicepsFemorisAnterior R	LH_BicepsFemorisPosterior R	LH_Gastrocnemius R	LH_Illiopsoas R	LH_RectusFemoris R	LH_Soleus R	LH_TibialisAnterior R	LH_Vastii R	
0.0066	4.795563	36.4544	10.20862	0	0	1.114665	0	0.5948238	
0.00665	4.803519	36.50525	10.23882	0	0	1.121199	0	0.6001822	
0.0067	4.811392	36.55486	10.26814	0	0	1.127705	0	0.6054583	
0.00675	4.819118	36.60344	10.29774	0	0	1.134168	0	0.6107311	
0.0068	4.826698	36.65069	10.3266	0	0	1.140619	0	0.6160007	
0.00685	4.834168	36.69675	10.35523	0	0	1.147074	0	0.621267	
0.0069	4.841496	36.74152	10.38338	0	0	1.153438	0	0.6264906	
0.00695	4.848779	36.7853	10.41131	0	0	1.159806	0	0.6317505	
0.007	4.85589	36.82791	10.43865	0	0	1.166132	0	0.6369678	
0.00705	4.862894	36.86946	10.46564	0	0	1.172413	0	0.6421427	
0.0071	4.869761	36.90997	10.49242	0	0	1.178668	0	0.6473538	
0.00715	4.876525	36.94925	10.51875	0	0	1.184912	0	0.6525226	
0.0072	4.883218	36.9876	10.54499	0	0	1.191129	0	0.6577278	
0.00725	4.889776	37.02494	10.57052	0	0	1.197302	0	0.6628117	
0.0073	4.896234	37.06136	10.59611	0	0	1.203481	0	0.6679717	
0.00735	4.902591	37.0966	10.62125	0	0	1.209602	0	0.6731288	
0.0074	4.908882	37.13105	10.64594	0	0	1.215695	0	0.6782041	
0.00745	4.915041	37.16443	10.67044	0	0	1.221762	0	0.6832767	
0.0075	4.921103	37.19694	10.6945	0	0	1.227787	0	0.688386	
0.00755	4.927069	37.22868	10.71799	0	0	1.233769	0	0.6934531	
0.0076	4.933003	37.25928	10.74168	0	0	1.239757	0	0.6984782	
0.00765	4.938777	37.28923	10.76482	0	0	1.245719	0	0.7034613	
0.0077	4.944521	37.31815	10.78765	0	0	1.251639	0	0.7084814	
0.00775	4.950138	37.34624	10.81031	0	0	1.257532	0	0.7135383	
0.0078	4.955662	37.3737	10.83242	0	0	1.263368	0	0.7184744	
0.00785	4.961125	37.40015	10.85449	0	0	1.269226	0	0.7234476	
0.0079	4.966529	37.4258	10.87613	0	0	1.275026	0	0.728379	
0.00795	4.971839	37.45075	10.89737	0	0	1.280801	0	0.7333475	
0.007999999	4.977059	37.4749	10.91856	0	0	1.286533	0	0.7382742	
0.008049999	4.98222	37.49826	10.93923	0	0	1.292257	0	0.7431592	
0.0081	4.98729	37.52095	10.95999	0	0	1.297955	0	0.7480421	
0.00815	4.992334	37.54295	10.98021	0	0	1.303612	0	0.7528834	
0.0082	4.997255	37.56417	11.00016	0	0	1.309259	0	0.7577621	
0.00825	5.00212	37.58465	11.01971	0	0	1.314865	0	0.7626386	
0.0083	5.006927	37.60455	11.03937	0	0	1.320446	0	0.7674342	
0.00835	5.011644	37.6237	11.05837	0	0	1.326002	0	0.7722279	
0.0084	5.016338	37.6422	11.07737	0	0	1.331549	0	0.7770197	
0.00845	5.020943	37.66005	11.09597	0	0	1.33704	0	0.7818096	
0.0085	5.025459	37.67735	11.11456	0	0	1.342489	0	0.7865583	
0.008549999	5.029984	37.69402	11.13276	0	0	1.347978	0	0.7912657	
0.008599999	5.034356	37.70996	11.15058	0	0	1.353378	0	0.7960109	
0.00865	5.038736	37.72527	11.1684	0	0	1.358786	0	0.8006755	
0.0087	5.043029	37.74014	11.1857	0	0	1.364153	0	0.8053781	
0.00875	5.047266	37.75439	11.20289	0	0	1.369464	0	0.8100395	
0.0088	5.051448	37.76802	11.21982	0	0	1.374799	0	0.8146994	
0.00885	5.055574	37.78104	11.23663	0	0	1.380093	0	0.8193184	
0.0089	5.059677	37.79364	11.25282	0	0	1.385315	0	0.8240147	
0.00895	5.063724	37.80572	11.26927	0	0	1.390577	0	0.8285519	
0.009	5.067683	37.8171	11.28523	0	0	1.395768	0	0.8331272	
0.00905	5.071587	37.82808	11.30107	0	0	1.400966	0	0.8377407	
0.009099999	5.075468	37.83855	11.3168	0	0	1.406124	0	0.8423133	
0.009149999	5.079324	37.84851	11.33204	0	0	1.411227	0	0.8468058	
